scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-64.66587,-17.82745
Empidonomus aurantioatrocristatus,-62.5913889,-19.0283333
Empidonomus aurantioatrocristatus,-63.1425476,-17.6578445
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-60.425,-19.2608333
Empidonomus aurantioatrocristatus,-57.66,-24.66
Empidonomus aurantioatrocristatus,-60.2763889,-19.0166667
Empidonomus aurantioatrocristatus,-64.5260681,-17.9157791
Empidonomus aurantioatrocristatus,-72.9174507,-3.2578834
Empidonomus aurantioatrocristatus,-77.6138592,-1.0649259
Empidonomus aurantioatrocristatus,-69.930814,-4.1474
Empidonomus aurantioatrocristatus,-76.8593645,-2.5416598
Empidonomus aurantioatrocristatus,-63.66857,-17.4724
Empidonomus aurantioatrocristatus,-57.4751612,-15.642929
Empidonomus aurantioatrocristatus,-60.31,-20.31
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-57.9933929,-31.3712266
Empidonomus aurantioatrocristatus,-64.9301434,-14.113031
Empidonomus aurantioatrocristatus,-57.7333333,-25
Empidonomus aurantioatrocristatus,-64.1168976,-25.1272576
Empidonomus aurantioatrocristatus,-76.3974008,-0.6745278
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-72.8496659,-3.4426683
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-66.3997793,-27.5915558
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-76.3723698,-0.4926106
Empidonomus aurantioatrocristatus,-71.1529541,-12.0339482
Empidonomus aurantioatrocristatus,-58.836,-26.2473333
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-58.799,-23.499
Empidonomus aurantioatrocristatus,-64.5701694,-31.9202587
Empidonomus aurantioatrocristatus,-66.3997793,-27.5915558
Empidonomus aurantioatrocristatus,-63.2718515,-17.872488
Empidonomus aurantioatrocristatus,-60.6280518,-17.2772187
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-57.7333333,-25
Empidonomus aurantioatrocristatus,-61.8874226,-9.7298119
Empidonomus aurantioatrocristatus,-72.9175811,-3.2628548
Empidonomus aurantioatrocristatus,-43.9962959,-19.8564982
Empidonomus aurantioatrocristatus,-76.8061066,-6.0494968
Empidonomus aurantioatrocristatus,-70.173015,-4.3024262
Empidonomus aurantioatrocristatus,-64.4573021,-31.2801647
Empidonomus aurantioatrocristatus,-60.3417708,-22.3553571
Empidonomus aurantioatrocristatus,-77.7387353,-1.0298594
Empidonomus aurantioatrocristatus,-65.46,-32.805
Empidonomus aurantioatrocristatus,-58.2115746,-31.8714351
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-63.1605721,-17.9483605
Empidonomus aurantioatrocristatus,-70.2640606,-3.8210089
Empidonomus aurantioatrocristatus,-70.7064,-12.35545
Empidonomus aurantioatrocristatus,-64.8495054,-23.7608379
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-58.9556623,-27.3230512
Empidonomus aurantioatrocristatus,-76.6116142,-0.4058041
Empidonomus aurantioatrocristatus,-60.31,-20.31
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-63.7578728,-31.300746
Empidonomus aurantioatrocristatus,-43.9962959,-19.8564982
Empidonomus aurantioatrocristatus,-70.7993317,-12.2870047
Empidonomus aurantioatrocristatus,-46.3688144,-20.2441648
Empidonomus aurantioatrocristatus,-64.4979858,-30.9805917
Empidonomus aurantioatrocristatus,-76.1493409,-0.6375844
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-62.560819,-19.922432
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-64.47273,-31.39065
Empidonomus aurantioatrocristatus,-72.8525519,-3.4479288
Empidonomus aurantioatrocristatus,-73.4213745,-3.0095941
Empidonomus aurantioatrocristatus,-64.6385207,-18.0963611
Empidonomus aurantioatrocristatus,-66.1819725,-27.8567295
Empidonomus aurantioatrocristatus,-66.3103437,-27.5829432
Empidonomus aurantioatrocristatus,-59.2666667,-19.5833333
Empidonomus aurantioatrocristatus,-63.21641,-17.78035
Empidonomus aurantioatrocristatus,-62.7257538,-30.9396299
Empidonomus aurantioatrocristatus,-59.5865822,-18.3301391
Empidonomus aurantioatrocristatus,-72.211344,-3.479624
Empidonomus aurantioatrocristatus,-60.3417708,-22.3553571
Empidonomus aurantioatrocristatus,-69.6744112,-13.4843178
Empidonomus aurantioatrocristatus,-61.6166667,-23.1666667
Empidonomus aurantioatrocristatus,-69.7421515,-2.8890823
Empidonomus aurantioatrocristatus,-72.9148221,-3.2529136
Empidonomus aurantioatrocristatus,-72.7567649,-9.5340984
Empidonomus aurantioatrocristatus,-75.490669,-0.602844
Empidonomus aurantioatrocristatus,-64.4979858,-30.9805917
Empidonomus aurantioatrocristatus,-69.9959679,-3.0474113
Empidonomus aurantioatrocristatus,-43.9962959,-19.8564982
Empidonomus aurantioatrocristatus,-70.7029063,-12.3550311
Empidonomus aurantioatrocristatus,-76.8593645,-2.5416598
Empidonomus aurantioatrocristatus,-69.6119071,-13.1372421
Empidonomus aurantioatrocristatus,-77.536,-2.416
Empidonomus aurantioatrocristatus,-62.6166667,-14.6333333
Empidonomus aurantioatrocristatus,-76.3308,-1.06721
Empidonomus aurantioatrocristatus,-62.3113889,-19.5308333
Empidonomus aurantioatrocristatus,-77.6138592,-1.0649259
Empidonomus aurantioatrocristatus,-62.8222489,-38.4102633
Empidonomus aurantioatrocristatus,-72.8496659,-3.4426683
Empidonomus aurantioatrocristatus,-65.4797709,-31.375999
Empidonomus aurantioatrocristatus,-72.75,-3.58
Empidonomus aurantioatrocristatus,-59.2666667,-19.5833333
Empidonomus aurantioatrocristatus,-64.6329117,-30.7728927
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-60.3417708,-22.3553571
Empidonomus aurantioatrocristatus,-58.57,-23.63
Empidonomus aurantioatrocristatus,-64.9805556,-13.915
Empidonomus aurantioatrocristatus,-64.484836,-31.210371
Empidonomus aurantioatrocristatus,-58.7476489,-33.4983288
Empidonomus aurantioatrocristatus,-73.3230972,-3.0270408
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
Empidonomus aurantioatrocristatus,-71.0944712,-12.1405997
Empidonomus aurantioatrocristatus,-69.2934027,-12.8369198
